Departamento,Municipio,Herido,Muerto,Total general
Vichada,Cumaribo,8,7,15
Antioquia,Murindó,10,4,14
Boyacá,Labranzagrande,11,3,14
Caldas,Pensilvania,10,4,14
Cauca,Puracé,14,,14
Cauca,San Sebastián,12,2,14
Cesar,La Jagua De Ibirico,11,3,14
Chocó,El Carmen Del Darien,12,2,14
Huila,Isnos,10,4,14
Tolima,Cajamarca,10,4,14
Tolima,Venadillo,12,2,14
Vaupes,Carurú,11,3,14
Boyacá,Pajarito,12,1,13
Cesar,Pueblo Bello,5,8,13
Chocó,Sipí,13,,13
La Guajira,Riohacha,2,11,13
Nariño,Cumbal,7,6,13
Santander,Bucaramanga,7,6,13
Boyacá,Pisba,7,5,12
Casanare,Aguazul,10,2,12
Cauca,Caldono,10,2,12
Cesar,Agustín Codazzi,5,7,12
Chocó,Bojayá,8,4,12
Córdoba,Montelíbano,12,,12
Huila,Tello,10,2,12
Magdalena,Santa Marta,8,4,12
Nariño,Santa Bárbara,10,2,12
Norte De Santander,Cúcuta,9,3,12
Norte De Santander,Ocaña,10,2,12
Sucre,Colosó,8,4,12
Valle Del Cauca,Cali,1,11,12
Antioquia,Chigorodó,8,3,11
Antioquia,Santa Fe Antioquia,10,1,11
Cauca,Bolívar,11,,11
Cesar,Curumaní,11,,11
Chocó,Quibdó,9,2,11
Chocó,San José Del Palmar,8,3,11
La Guajira,La Jagua Del Pilar,2,9,11
Santander,Suratá,10,1,11
Antioquia,Alejandría,10,,10
Antioquia,Cañasgordas,4,6,10
Caldas,Aguadas,4,6,10
Caldas,Marulanda,9,1,10
Caldas,Riosucio,7,3,10
Chocó,Bajo Baudó,9,1,10
Cundinamarca,La Peña,6,4,10
La Guajira,San Juan Del Cesar,2,8,10
Nariño,La Cruz,1,9,10
Santander,El Playón,9,1,10
Santander,Simacota,8,2,10
Bolívar,Cartagena De Indias,8,1,9
Bolívar,Tiquisio,9,,9
Casanare,La Salina,5,4,9
Casanare,Yopal,4,5,9
Cundinamarca,Cáqueza,9,,9
Cundinamarca,Guaduas,9,,9
Nariño,Leiva,8,1,9
Tolima,San Antonio,6,3,9
Valle Del Cauca,Dagua,5,4,9
Antioquia,Guatapé,5,3,8
Antioquia,Montebello,7,1,8
Antioquia,Vegachí,8,,8
Bolívar,San Juan Nepomuceno,8,,8
Casanare,Chámeza,6,2,8
Chocó,Rio Iró,3,5,8
La Guajira,Dibulla,2,6,8
La Guajira,Urumita,7,1,8
Santander,Pinchote,7,1,8
Santander,Sucre,6,2,8
Antioquia,Anzá,,7,7
Antioquia,Santuario,2,5,7
Bolívar,Norosí,6,1,7
Caquetá,Belén De Los Andaquíes,4,3,7
Cauca,La Sierra,5,2,7
Cesar,Chiriguaná,3,4,7
Chocó,Alto Baudó,5,2,7
Chocó,Medio Baudó,7,,7
Huila,Palermo,4,3,7
Huila,San Agustín,7,,7
Magdalena,Plato,4,3,7
Nariño,Olaya Herrera,6,1,7
Norte De Santander,Bucarasica,7,,7
Norte De Santander,Toledo,7,,7
Santander,Curití,6,1,7
Santander,Rionegro,6,1,7
Sucre,San Onofre,4,3,7
Sucre,Sucre,6,1,7
Tolima,Icononzo,7,,7
Antioquia,La Unión,5,1,6
Antioquia,Peque,6,,6
Arauca,Cravo Norte,5,1,6
Atlántico,Barranquilla,6,,6
Bolívar,Barranco De Loba,5,1,6
Bolívar,Córdoba,3,3,6
Caldas,Pácora,6,,6
Caquetá,Curillo,6,,6
Cauca,Popayán,4,2,6
Cesar,Aguachica,4,2,6
Cesar,El Copey,6,,6
Cundinamarca,Albán,3,3,6
Cundinamarca,Chaguaní,6,,6
Cundinamarca,Topaipí,6,,6
Huila,La Argentina,2,4,6
Nariño,El Charco,6,,6
Norte De Santander,Santiago,6,,6
Putumayo,Mocoa,6,,6
Tolima,Ibagué,3,3,6
Valle Del Cauca,Jamundí,5,1,6
Antioquia,Abejorral,3,2,5
Antioquia,Carepa,2,3,5
Antioquia,Sabanalarga,5,,5
Antioquia,San Roque,5,,5
Bolívar,Achí,5,,5
Boyacá,Aquitania,3,2,5
Boyacá,El Cocuy,5,,5
Caquetá,Morelia,5,,5
Caquetá,Valparaíso,2,3,5
Cauca,Morales,2,3,5
Chocó,Juradó,3,2,5
Chocó,Medio San Juan,5,,5
Cundinamarca,Caparrapí,5,,5
Cundinamarca,El Peñón,4,1,5
Norte De Santander,El Zulia,5,,5
Quindío,Génova,4,1,5
Risaralda,Mistrató,5,,5
Santander,California,5,,5
Santander,Charta,5,,5
Santander,San Miguel,3,2,5
Tolima,Natagaima,5,,5
Valle Del Cauca,San Pedro,4,1,5
Amazonas,Puerto Santander,2,2,4
Antioquia,Caucasia,4,,4
Antioquia,Cisneros,4,,4
Antioquia,Puerto Berrío,4,,4
Boyacá,Cubará,4,,4
Boyacá,Garagoa,4,,4
Boyacá,Paya,3,1,4
Caldas,La Dorada,3,1,4
Casanare,Támara,4,,4
Cesar,Becerril,3,1,4
Cesar,San Martín,4,,4
Chocó,Acandí,4,,4
Chocó,Bagadó,3,1,4
